"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 10 09:58:30 GMT 2021","Tue Aug 10 09:58:31 GMT 2021","1347","Test_Condiut","test_conduit","TestConduit","","","test_list_articles",""
"passed","Tue Aug 10 09:58:19 GMT 2021","Tue Aug 10 09:58:19 GMT 2021","58","Test_Condiut","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Tue Aug 10 09:58:58 GMT 2021","Tue Aug 10 09:58:59 GMT 2021","995","Test_Condiut","test_conduit","TestConduit","","","test_logout",""
"passed","Tue Aug 10 09:58:54 GMT 2021","Tue Aug 10 09:58:56 GMT 2021","2004","Test_Condiut","test_conduit","TestConduit","","","test_edit_profile_picture",""
"passed","Tue Aug 10 09:58:38 GMT 2021","Tue Aug 10 09:58:40 GMT 2021","1922","Test_Condiut","test_conduit","TestConduit","","","test_create_article",""
"passed","Tue Aug 10 09:58:33 GMT 2021","Tue Aug 10 09:58:35 GMT 2021","1538","Test_Condiut","test_conduit","TestConduit","","","test_pagination",""
"passed","Tue Aug 10 09:58:42 GMT 2021","Tue Aug 10 09:58:45 GMT 2021","3041","Test_Condiut","test_conduit","TestConduit","","","test_add_comments",""
"passed","Tue Aug 10 09:58:28 GMT 2021","Tue Aug 10 09:58:28 GMT 2021","899","Test_Condiut","test_conduit","TestConduit","","","test_sign_in",""
"passed","Tue Aug 10 09:58:21 GMT 2021","Tue Aug 10 09:58:26 GMT 2021","5016","Test_Condiut","test_conduit","TestConduit","","","test_sign_up",""
"passed","Tue Aug 10 09:58:36 GMT 2021","Tue Aug 10 09:58:37 GMT 2021","324","Test_Condiut","test_conduit","TestConduit","","","test_save_data",""
"passed","Tue Aug 10 09:58:47 GMT 2021","Tue Aug 10 09:58:52 GMT 2021","5773","Test_Condiut","test_conduit","TestConduit","","","test_delete_article",""
