"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 08 16:28:06 GMT 2021","Sun Aug 08 16:28:07 GMT 2021","860","Test_Condiut","test_conduit","TestConduit","","","test_sign_in",""
"broken","Sun Aug 08 16:28:21 GMT 2021","Sun Aug 08 16:28:23 GMT 2021","2223","Test_Condiut","test_conduit","TestConduit","","","test_add_comments",""
"passed","Sun Aug 08 16:27:59 GMT 2021","Sun Aug 08 16:28:04 GMT 2021","5012","Test_Condiut","test_conduit","TestConduit","","","test_sign_up",""
"passed","Sun Aug 08 16:28:25 GMT 2021","Sun Aug 08 16:28:27 GMT 2021","2440","Test_Condiut","test_conduit","TestConduit","","","test_edit_profile_picture",""
"passed","Sun Aug 08 16:28:08 GMT 2021","Sun Aug 08 16:28:10 GMT 2021","1367","Test_Condiut","test_conduit","TestConduit","","","test_list_articles",""
"passed","Sun Aug 08 16:27:58 GMT 2021","Sun Aug 08 16:27:58 GMT 2021","54","Test_Condiut","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Sun Aug 08 16:28:12 GMT 2021","Sun Aug 08 16:28:13 GMT 2021","1426","Test_Condiut","test_conduit","TestConduit","","","test_pagination",""
"passed","Sun Aug 08 16:28:29 GMT 2021","Sun Aug 08 16:28:30 GMT 2021","1012","Test_Condiut","test_conduit","TestConduit","","","test_logout",""
"passed","Sun Aug 08 16:28:15 GMT 2021","Sun Aug 08 16:28:15 GMT 2021","303","Test_Condiut","test_conduit","TestConduit","","","test_save_data",""
"passed","Sun Aug 08 16:28:17 GMT 2021","Sun Aug 08 16:28:19 GMT 2021","2265","Test_Condiut","test_conduit","TestConduit","","","test_create_article",""
