"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 08 16:06:12 GMT 2021","Sun Aug 08 16:06:13 GMT 2021","1534","Test_Condiut","test_conduit","TestConduit","","","test_pagination",""
"passed","Sun Aug 08 16:06:09 GMT 2021","Sun Aug 08 16:06:10 GMT 2021","1415","Test_Condiut","test_conduit","TestConduit","","","test_list_articles",""
"broken","Sun Aug 08 16:06:21 GMT 2021","Sun Aug 08 16:06:24 GMT 2021","2945","Test_Condiut","test_conduit","TestConduit","","","test_add_comments",""
"passed","Sun Aug 08 16:06:30 GMT 2021","Sun Aug 08 16:06:31 GMT 2021","1098","Test_Condiut","test_conduit","TestConduit","","","test_logout",""
"passed","Sun Aug 08 16:06:06 GMT 2021","Sun Aug 08 16:06:07 GMT 2021","913","Test_Condiut","test_conduit","TestConduit","","","test_sign_in",""
"passed","Sun Aug 08 16:05:57 GMT 2021","Sun Aug 08 16:05:57 GMT 2021","89","Test_Condiut","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Sun Aug 08 16:06:15 GMT 2021","Sun Aug 08 16:06:16 GMT 2021","349","Test_Condiut","test_conduit","TestConduit","","","test_save_data",""
"passed","Sun Aug 08 16:06:17 GMT 2021","Sun Aug 08 16:06:19 GMT 2021","2541","Test_Condiut","test_conduit","TestConduit","","","test_create_article",""
"passed","Sun Aug 08 16:06:26 GMT 2021","Sun Aug 08 16:06:28 GMT 2021","2577","Test_Condiut","test_conduit","TestConduit","","","test_edit_profile_picture",""
"passed","Sun Aug 08 16:05:58 GMT 2021","Sun Aug 08 16:06:04 GMT 2021","5614","Test_Condiut","test_conduit","TestConduit","","","test_sign_up",""
