"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Aug 05 16:07:25 GMT 2021","Thu Aug 05 16:07:25 GMT 2021","159","Test_Condiut","test_conduit","TestConduit","","","test_list_articles",""
"failed","Thu Aug 05 16:07:42 GMT 2021","Thu Aug 05 16:07:43 GMT 2021","165","Test_Condiut","test_conduit","TestConduit","","","test_add_comments",""
"failed","Thu Aug 05 16:07:43 GMT 2021","Thu Aug 05 16:07:44 GMT 2021","161","Test_Condiut","test_conduit","TestConduit","","","test_edit_article",""
"failed","Thu Aug 05 16:07:44 GMT 2021","Thu Aug 05 16:07:44 GMT 2021","157","Test_Condiut","test_conduit","TestConduit","","","test_delete_article",""
"failed","Thu Aug 05 16:07:40 GMT 2021","Thu Aug 05 16:07:41 GMT 2021","163","Test_Condiut","test_conduit","TestConduit","","","test_create_article",""
"broken","Thu Aug 05 16:07:28 GMT 2021","Thu Aug 05 16:07:39 GMT 2021","10753","Test_Condiut","test_conduit","TestConduit","","","test_save_data",""
"failed","Thu Aug 05 16:07:19 GMT 2021","Thu Aug 05 16:07:19 GMT 2021","161","Test_Condiut","test_conduit","TestConduit","","","test_accept_cookies",""
"failed","Thu Aug 05 16:07:23 GMT 2021","Thu Aug 05 16:07:23 GMT 2021","160","Test_Condiut","test_conduit","TestConduit","","","test_sign_in",""
"failed","Thu Aug 05 16:07:27 GMT 2021","Thu Aug 05 16:07:27 GMT 2021","157","Test_Condiut","test_conduit","TestConduit","","","test_paginate",""
"failed","Thu Aug 05 16:07:46 GMT 2021","Thu Aug 05 16:07:46 GMT 2021","161","Test_Condiut","test_conduit","TestConduit","","","test_logout",""
"failed","Thu Aug 05 16:07:21 GMT 2021","Thu Aug 05 16:07:21 GMT 2021","159","Test_Condiut","test_conduit","TestConduit","","","test_sign_up",""
