"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 08 15:50:26 GMT 2021","Sun Aug 08 15:50:31 GMT 2021","4774","Test_Condiut","test_conduit","TestConduit","","","test_sign_up",""
"passed","Sun Aug 08 15:50:36 GMT 2021","Sun Aug 08 15:50:37 GMT 2021","1415","Test_Condiut","test_conduit","TestConduit","","","test_list_articles",""
"passed","Sun Aug 08 15:50:42 GMT 2021","Sun Aug 08 15:50:42 GMT 2021","300","Test_Condiut","test_conduit","TestConduit","","","test_save_data",""
"broken","Sun Aug 08 15:50:47 GMT 2021","Sun Aug 08 15:50:49 GMT 2021","1857","Test_Condiut","test_conduit","TestConduit","","","test_add_comments",""
"passed","Sun Aug 08 15:50:51 GMT 2021","Sun Aug 08 15:50:53 GMT 2021","1941","Test_Condiut","test_conduit","TestConduit","","","test_edit_profile_picture",""
"passed","Sun Aug 08 15:50:44 GMT 2021","Sun Aug 08 15:50:46 GMT 2021","2407","Test_Condiut","test_conduit","TestConduit","","","test_create_article",""
"passed","Sun Aug 08 15:50:39 GMT 2021","Sun Aug 08 15:50:40 GMT 2021","1420","Test_Condiut","test_conduit","TestConduit","","","test_pagination",""
"passed","Sun Aug 08 15:50:24 GMT 2021","Sun Aug 08 15:50:24 GMT 2021","71","Test_Condiut","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Sun Aug 08 15:50:33 GMT 2021","Sun Aug 08 15:50:34 GMT 2021","882","Test_Condiut","test_conduit","TestConduit","","","test_sign_in",""
"passed","Sun Aug 08 15:50:54 GMT 2021","Sun Aug 08 15:50:55 GMT 2021","972","Test_Condiut","test_conduit","TestConduit","","","test_logout",""
