"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 08 16:47:50 GMT 2021","Sun Aug 08 16:47:55 GMT 2021","4784","Test_Condiut","test_conduit","TestConduit","","","test_sign_up",""
"passed","Sun Aug 08 16:48:21 GMT 2021","Sun Aug 08 16:48:24 GMT 2021","2365","Test_Condiut","test_conduit","TestConduit","","","test_edit_profile_picture",""
"passed","Sun Aug 08 16:48:05 GMT 2021","Sun Aug 08 16:48:05 GMT 2021","281","Test_Condiut","test_conduit","TestConduit","","","test_save_data",""
"passed","Sun Aug 08 16:47:49 GMT 2021","Sun Aug 08 16:47:49 GMT 2021","81","Test_Condiut","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Sun Aug 08 16:48:02 GMT 2021","Sun Aug 08 16:48:03 GMT 2021","941","Test_Condiut","test_conduit","TestConduit","","","test_pagination",""
"passed","Sun Aug 08 16:47:59 GMT 2021","Sun Aug 08 16:48:00 GMT 2021","1329","Test_Condiut","test_conduit","TestConduit","","","test_list_articles",""
"passed","Sun Aug 08 16:48:07 GMT 2021","Sun Aug 08 16:48:09 GMT 2021","2302","Test_Condiut","test_conduit","TestConduit","","","test_create_article",""
"passed","Sun Aug 08 16:47:56 GMT 2021","Sun Aug 08 16:47:57 GMT 2021","889","Test_Condiut","test_conduit","TestConduit","","","test_sign_in",""
"passed","Sun Aug 08 16:48:14 GMT 2021","Sun Aug 08 16:48:20 GMT 2021","5220","Test_Condiut","test_conduit","TestConduit","","","test_delete_article",""
"broken","Sun Aug 08 16:48:11 GMT 2021","Sun Aug 08 16:48:13 GMT 2021","2204","Test_Condiut","test_conduit","TestConduit","","","test_add_comments",""
"passed","Sun Aug 08 16:48:25 GMT 2021","Sun Aug 08 16:48:26 GMT 2021","997","Test_Condiut","test_conduit","TestConduit","","","test_logout",""
