"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 14:48:48 GMT 2021","Wed Aug 11 14:48:48 GMT 2021","321","Test_Condiut","test_conduit","TestConduit","","","test_save_data",""
"passed","Wed Aug 11 14:48:44 GMT 2021","Wed Aug 11 14:48:45 GMT 2021","1349","Test_Condiut","test_conduit","TestConduit","","","test_list_articles",""
"passed","Wed Aug 11 14:48:53 GMT 2021","Wed Aug 11 14:48:57 GMT 2021","3423","Test_Condiut","test_conduit","TestConduit","","","test_add_comments",""
"passed","Wed Aug 11 14:49:10 GMT 2021","Wed Aug 11 14:49:11 GMT 2021","1117","Test_Condiut","test_conduit","TestConduit","","","test_logout",""
"passed","Wed Aug 11 14:48:50 GMT 2021","Wed Aug 11 14:48:53 GMT 2021","2425","Test_Condiut","test_conduit","TestConduit","","","test_create_article",""
"passed","Wed Aug 11 14:48:33 GMT 2021","Wed Aug 11 14:48:33 GMT 2021","58","Test_Condiut","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Wed Aug 11 14:48:35 GMT 2021","Wed Aug 11 14:48:40 GMT 2021","5060","Test_Condiut","test_conduit","TestConduit","","","test_sign_up",""
"passed","Wed Aug 11 14:48:59 GMT 2021","Wed Aug 11 14:49:04 GMT 2021","5785","Test_Condiut","test_conduit","TestConduit","","","test_delete_article",""
"passed","Wed Aug 11 14:49:06 GMT 2021","Wed Aug 11 14:49:09 GMT 2021","2546","Test_Condiut","test_conduit","TestConduit","","","test_edit_profile_picture",""
"passed","Wed Aug 11 14:48:46 GMT 2021","Wed Aug 11 14:48:47 GMT 2021","1453","Test_Condiut","test_conduit","TestConduit","","","test_pagination",""
"passed","Wed Aug 11 14:48:41 GMT 2021","Wed Aug 11 14:48:42 GMT 2021","871","Test_Condiut","test_conduit","TestConduit","","","test_sign_in",""
